2.00E+13,5.45E+75,18.91891892,94.28571429,29.18287938,*,*,*,*,*,*,+,/,f37,*,*,*,*,*,f26,*,+,f37,*,f37,-,f37,f37,*,*,+,-,f1,f37,f51,/,-,f37,f26,f49,-,f49,f37,f37,f24,f29,*,/,f36,f1,f15,f58,f30,f49,f18,f19,f32,f31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.06E+07,5.40E+75,39.63963964,91.42857143,46.692607,*,/,/,/,/,/,/,*,f44,/,*,+,/,/,f37,*,-,/,*,*,f37,f37,*,f19,f37,/,-,f37,f37,*,f25,f44,f37,f37,f37,f37,f41,f45,-,f41,f37,+,f37,f58,f34,f10,f26,f27,f20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.18E+07,5.40E+75,40.99099099,94.28571429,48.24902724,*,*,*,*,-,*,*,*,*,*,/,*,f37,/,-,f37,f37,f37,*,f37,*,-,*,*,*,f20,+,/,f37,f37,f37,f47,-,f26,f37,f44,f44,f37,f37,f37,f37,f28,f23,f37,f25,f2,f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.97E+09,5.36E+75,17.11711712,100,28.40466926,*,*,*,*,*,*,*,-,f37,*,+,f37,/,-,*,+,*,+,*,f26,+,*,/,+,/,f37,+,f26,*,f37,+,f37,f38,f37,f37,f6,f19,-,f37,f22,f37,f47,+,*,f53,f49,f37,f28,f23,f18,f26,f18,f49,f58,f42,f47,f7,,,,,,,,,,,,,,,,,,,,,,,,
1.04E+12,5.20E+75,20.27027027,97.14285714,30.73929961,*,*,*,*,*,*,*,*,/,+,+,*,*,*,*,*,f49,f54,/,/,+,*,-,f49,f49,f49,/,f37,+,-,f37,f37,*,-,f26,f26,-,f49,f37,f4,f56,f26,f49,f37,f55,f26,f37,f49,f26,f37,f57,f39,f10,f54,f34,,,,,,,,,,,,,,,,,,,,,,,,,,
7422288.161,5.08E+75,0,100,13.61867704,*,*,*,*,*,-,*,*,-,*,*,-,-,*,*,-,f26,f37,-,f37,*,+,f37,f37,*,*,f37,f37,+,+,f37,f43,+,-,f49,f37,+,f37,f26,f26,*,f26,f16,f49,f37,f37,f49,f19,f26,f3,f49,f43,f49,f10,f38,,,,,,,,,,,,,,,,,,,,,,,,,,
8.79E+08,5.07E+75,27.02702703,94.28571429,36.18677043,*,*,-,*,+,/,*,*,*,*,*,*,+,+,*,+,f37,*,-,-,f37,+,*,*,f37,f26,f48,*,*,*,+,f26,*,-,f37,f37,*,*,f37,f26,f37,f12,f37,f36,f26,f37,*,f37,f37,f37,f49,f26,f37,f26,f26,f40,f37,f6,f24,f49,f47,f54,f26,,,,,,,,,,,,,,,,,,
6.51E+10,5.06E+75,31.08108108,94.28571429,39.68871595,*,*,*,-,*,*,*,*,*,*,+,*,*,+,f37,*,f26,+,f26,-,*,f49,*,f37,*,f37,f37,f37,f49,f16,f26,f26,f37,*,f37,f49,+,f58,f48,f48,f37,f37,f37,f26,f32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.80E+07,5.06E+75,43.24324324,94.28571429,50.19455253,*,*,/,+,-,*,/,+,+,*,/,+,*,/,*,f37,-,*,/,*,*,/,f37,f37,f37,+,-,f44,+,*,-,f37,f26,f54,f37,-,f44,f37,f37,f37,f37,-,f54,f37,-,*,f37,*,f49,*,f37,f37,f26,f37,f2,f6,f25,f49,f1,f10,f26,f28,f7,f31,f37,,,,,,,,,,,,,,,,
1.28E+10,5.06E+75,35.13513514,97.14285714,43.57976654,*,*,*,*,*,*,+,f26,*,+,*,*,*,+,-,f37,+,*,-,f37,+,-,*,*,-,f37,f37,*,*,f49,f37,f55,-,+,f37,-,f37,*,f37,f37,+,f37,f37,f49,-,f49,+,f13,f26,f26,f15,f24,f26,f49,f22,f22,f6,f6,f26,f20,f50,f47,f10,,,,,,,,,,,,,,,,,,
2.91E+09,5.03E+75,18.01801802,97.14285714,28.79377432,*,*,*,*,*,+,+,*,*,*,*,*,f37,f37,f37,f37,-,*,f37,f37,f37,f37,*,*,+,*,f37,f37,*,f49,f37,f26,f12,f8,f53,f22,f20,f26,f26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
