1860.236517,4.10E+75,11.36363636,100,40,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,f6,*,*,*,+,*,f6,*,f6,f6,*,*,f6,f6,*,*,*,f6,+,*,*,f6,*,*,f6,*,+,*,*,f6,*,f6,f5,f6,f6,f6,f1,f6,f5,f6,f6,f6,f6,f8,f6,f6,f6,f6,f8,f6,f6,f6,f1,f6,f2,f6,f2,f1,f6,f6,f6,f6,f6,f2,f6,f6,f6,f1,f6,f6,f6,f6,f1,f6,f6,,,,,,,,,,,,,,,,,,
30160.18436,4.10E+75,11.36363636,100,40,*,*,*,*,*,*,*,*,*,*,*,*,*,-,*,*,*,*,*,*,*,-,+,*,*,*,*,-,*,*,*,*,+,*,*,*,*,*,f6,*,*,*,*,*,-,f6,*,*,+,*,*,*,f6,*,*,-,f6,*,*,f6,+,f6,+,f4,f6,f6,f2,f6,f6,f6,f6,f6,f6,f2,f6,f6,f6,f6,f6,f1,f6,f6,f6,f2,f6,f6,f6,f3,f6,f6,f6,f6,f6,f4,f6,f6,f6,f6,f6,f6,f2,f6,f6,f2,f6,f5,f6,f6,f6,f6,f6,f7,f6,f7,f6,,,,,,,,,,
3131.782896,4.10E+75,11.36363636,100,40,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,/,*,*,*,*,*,*,*,*,*,*,+,*,*,f6,*,f6,f6,*,f6,*,f6,+,/,f6,f8,f6,*,*,*,*,*,+,*,+,*,*,*,*,+,*,f6,f4,f6,f1,f6,f6,f1,f1,f6,f6,f6,f6,f6,f2,f6,f6,f4,f5,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,f2,f6,f6,f6,f4,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,f1,f1,f6,,,,,,,,,,,,,,,,
3493.783985,4.08E+75,11.36363636,100,40,*,*,*,/,*,*,*,*,/,*,*,*,+,*,*,*,*,/,*,*,*,*,*,*,*,f6,*,*,*,*,*,+,*,*,f6,/,*,*,f6,*,*,*,f6,+,*,/,*,*,*,+,*,*,*,*,*,*,*,*,f6,*,+,f8,f6,f6,f6,f5,f6,f7,f6,f6,f6,f6,f6,f6,f1,f1,f6,f3,f6,f6,f1,f6,f6,f6,f7,f6,f6,f6,f6,f2,f6,f1,f6,f6,f5,f6,f6,f1,f6,f6,f1,f6,f6,f6,f6,f4,f6,f6,f6,f1,f6,f5,f6,,,,,,,,,,,,
1396.910874,4.07E+75,13.63636364,100,41.53846154,*,*,*,*,*,*,*,/,*,*,*,*,*,*,*,*,/,*,+,*,*,*,*,*,*,*,*,*,*,*,*,f6,*,/,+,*,+,*,*,*,/,*,*,f6,f6,*,*,*,*,*,*,+,+,f6,f6,+,*,*,*,*,*,+,*,f6,f6,f3,f6,f6,f2,f6,f2,f6,f8,f6,f6,f6,f1,f6,f6,f6,f7,f6,f6,f6,f6,f6,f1,f6,f4,f6,f1,f6,f1,f6,f6,f6,f1,f7,f6,f7,f6,f6,f3,f8,f6,f6,f6,f6,f6,f4,f6,f6,f6,f4,f6,f6,f6,,,,,,,,
95383.68968,4.07E+75,13.63636364,100,41.53846154,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,*,+,f6,+,*,*,+,+,*,f6,f6,*,f6,f6,*,*,*,*,*,*,*,+,*,+,+,+,*,*,f6,*,f6,f7,f6,f6,f1,f6,f1,f6,f6,f6,f6,f8,f6,f4,f2,f6,f6,f6,f6,f1,f1,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f3,f6,f6,f6,f6,f5,f6,f5,f6,f1,f6,f6,f8,f6,f6,f6,,,,,,,,,,,,
6427.173617,3.99E+75,11.36363636,100,40,*,*,*,*,*,*,*,*,*,*,+,*,*,*,*,*,*,*,*,*,*,*,+,*,*,*,*,*,*,+,*,f6,f6,*,*,f6,/,*,/,*,*,+,*,*,/,f6,f6,*,*,*,*,f6,+,*,*,+,*,*,*,*,f6,*,/,f6,f6,f2,f6,f6,f7,f6,f6,f6,f7,f6,f6,f2,f6,f6,f1,f6,f6,f6,f6,f6,f7,f1,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f4,f6,f6,f4,f6,f6,f2,f6,f6,f2,f6,f6,f6,f6,f6,f7,,,,,,,,,,,,
784.8098544,3.99E+75,11.36363636,100,40,*,*,*,*,*,*,*,-,*,*,*,-,*,*,*,-,*,*,*,*,*,*,*,/,*,*,*,*,*,*,*,/,f6,*,/,*,*,*,*,*,*,*,*,*,+,*,*,*,-,*,*,*,*,*,+,*,*,+,*,*,*,*,*,f4,f4,f6,f6,f6,f7,f6,f6,f4,f6,f6,f6,f6,f2,f6,f6,f6,f6,f6,f6,f6,f6,f8,f6,f6,f1,f6,f6,f6,f1,f6,f6,f5,f4,f6,f6,f8,f6,f6,f6,f6,f1,f6,f6,f4,f6,f6,f2,f6,f2,f5,f6,f6,f1,f1,f6,f1,f6,f2,f6,f6,f6
4033.97534,3.98E+75,13.63636364,100,41.53846154,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,*,*,f6,/,f6,*,+,+,+,*,f6,+,f6,+,*,*,*,*,*,f6,f6,*,*,f6,*,+,*,*,f6,f1,f6,*,f6,f6,f6,f6,f6,f7,f6,f6,f6,f1,f3,f6,f6,f8,f6,f6,f2,f6,f8,f1,f6,f6,f1,f6,f1,f6,f6,f6,f1,f6,f6,f6,f6,f6,f1,f6,f6,f4,f6,f6,f6,f6,f6,f6,,,,,,,,,,,,,,,,,,
5211.875103,3.94E+75,13.63636364,100,41.53846154,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,+,+,f6,*,f6,*,+,*,+,*,*,+,+,*,+,/,+,*,+,*,f6,+,*,*,+,f6,*,*,*,+,f6,f6,f1,f6,f4,f6,f8,f6,f6,f6,f6,f6,f2,f6,f6,f6,f6,f2,f1,f6,f6,f1,f6,f1,f6,f1,f6,f6,f1,f6,f6,f7,f5,f6,f6,f6,f6,f2,f6,f6,f6,f7,f1,f6,f6,f1,f4,f6,f6,f6,f1,f6,f6,f6,f3,f6,,,,,,
