2.30E+40,5.31E+75,0,100,32.30769231,EXP,+,SIN,-,EXP,f55,EXP,*,EXP,f29,SIN,COS,f3,TAN,EXP,-,-,TAN,f5,*,LOG,+,f15,f24,f31,f37,SIN,f31,f39,f54,f11,f12,f7,f19,f5,f20,f1,f26,f51,,,,,,,,,,,,
1.11E+20,5.31E+75,0,100,32.30769231,*,EXP,-,f23,TAN,-,EXP,TAN,EXP,f37,EXP,/,f4,f39,*,f51,f42,+,f23,EXP,f42,f39,f4,+,f35,f49,f31,f16,f48,,,,,,,,,,,,,,,,,,,,,,
2.34E+37,5.06E+75,0,100,32.30769231,-,-,/,f23,EXP,+,SIN,EXP,f18,EXP,-,TAN,TAN,f26,f31,+,TAN,f26,-,/,/,-,f17,*,f49,f53,f26,f26,f43,*,f3,f47,f40,f5,f31,f24,f38,f35,f13,,,,,,,,,,,,
4.92E+65,4.11E+75,0,100,32.30769231,*,COS,EXP,+,f26,EXP,f31,-,*,*,f44,COS,*,SIN,f24,f26,+,f49,f9,f2,f31,f31,f26,f35,f1,,,,,,,,,,,,,,,,,,,,,,,,,,
7.99E+66,4.11E+75,0,100,32.30769231,EXP,*,f31,+,*,+,/,EXP,-,f20,f45,/,f45,f45,f45,f13,f24,COS,f45,f28,f34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.06E+67,4.11E+75,0,100,32.30769231,EXP,EXP,+,+,f34,f55,f31,+,/,f25,f18,+,+,f34,f55,+,f21,f40,f50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00E+67,4.11E+75,0,100,32.30769231,EXP,+,EXP,TAN,+,f53,f2,EXP,SIN,f37,+,f4,/,f14,f9,TAN,-,f25,f14,f37,f4,f37,f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.82E+66,4.11E+75,0,100,32.30769231,TAN,EXP,EXP,-,+,-,f17,EXP,/,f46,f25,/,COS,LOG,f1,*,/,/,f20,f46,+,*,f46,f49,+,f46,f49,f9,f46,/,f10,f9,f28,f22,f35,f49,f19,,,,,,,,,,,,,,
1.67E+74,4.11E+75,0,100,32.30769231,COS,EXP,*,TAN,TAN,-,EXP,-,TAN,f33,f26,*,f37,/,f37,+,/,+,f3,-,f37,f3,*,EXP,f37,f26,+,f37,f12,f26,f3,f37,f34,f25,f14,f7,f10,,,,,,,,,,,,,,
8.66E+67,4.11E+75,0,100,32.30769231,TAN,+,-,EXP,TAN,EXP,LOG,*,*,COS,*,/,f18,f23,f58,LOG,+,f25,f25,COS,LOG,LOG,/,f4,f51,f52,EXP,-,+,f10,f2,f23,f11,f21,f1,f31,f56,f57,f42,f26,f42,f37,f43,,,,,,,,
2.73E+59,4.10E+75,0,100,32.30769231,EXP,TAN,EXP,f33,f9,SIN,TAN,+,TAN,f23,f21,SIN,+,f23,f21,+,EXP,*,f4,f58,f16,f4,f33,f16,f15,,,,,,,,,,,,,,,,,,,,,,,,,,
