Start Fitness,End Fitness,Class 0 Accuracy (%),Class 1 Accuracy (%),Overall Accuracy (%)
407981.3664,2.26E+75,35.13513514,100,43.9688716
5079812.252,3.25E+42,38.73873874,94.28571429,46.30350195
3.83E+07,1.76E+75,10.36036036,94.28571429,21.78988327
2.08E+07,8.70E+73,35.58558559,100,44.35797665
2270783.194,6.04E+36,33.78378378,94.28571429,42.0233463
257476.2888,1.56E+68,34.23423423,97.14285714,42.80155642
72866.01012,8.79E+63,4.504504505,94.28571429,16.73151751
1.71E+09,1.18E+74,38.73873874,94.28571429,46.30350195
3.60E+07,2.17E+63,28.37837838,97.14285714,37.74319066
5.58E+12,1.35E+75,16.66666667,97.14285714,27.62645914
464785.6966,3.40E+69,35.58558559,97.14285714,43.9688716
4511027.361,4.39E+69,0,100,13.61867704
3696695.69,2.02E+75,27.92792793,100,37.74319066
4.06E+07,2.06E+75,20.72072072,94.28571429,30.73929961
72866.03102,2.08E+37,35.58558559,100,44.35797665
2.29E+07,2.43E+75,9.009009009,97.14285714,21.01167315
2.04E+07,1.64E+75,19.81981982,91.42857143,29.57198444
445386.1312,1.87E+56,35.58558559,100,44.35797665
1.37E+07,9.99E+60,41.89189189,94.28571429,49.02723735
2.82E+10,2.24E+75,39.63963964,97.14285714,47.47081712
583014.1183,3.91E+75,29.27927928,94.28571429,38.13229572
445386.1311,6.04E+74,38.28828829,97.14285714,46.30350195
1.59E+07,2.48E+67,0,100,13.61867704
8.78E+08,5.44E+62,39.18918919,94.28571429,46.692607
1.75E+09,3.64E+46,0,100,13.61867704
1.01E+07,1.41E+75,36.48648649,94.28571429,44.35797665
445386.1356,3.52E+75,38.73873874,94.28571429,46.30350195
143887.6901,1.80E+75,4.054054054,97.14285714,16.73151751
1.29E+07,3.89E+75,0,100,13.61867704
553041.3309,9.09E+74,0,100,13.61867704
586231.4478,7.55E+74,4.054054054,97.14285714,16.73151751
1.95E+10,3.66E+59,0,100,13.61867704
5575322.79,1.80E+67,39.63963964,97.14285714,47.47081712
332383.5222,2.30E+58,35.58558559,100,44.35797665
1.96E+07,1.02E+75,38.28828829,100,46.692607
1.10E+09,7.35E+74,6.306306306,94.28571429,18.28793774
4.18E+07,2.13E+75,5.405405405,94.28571429,17.50972763
1.96E+07,7.27E+73,38.73873874,94.28571429,46.30350195
488915.5903,1.48E+61,38.73873874,94.28571429,46.30350195
1.90E+07,1.78E+74,39.18918919,97.14285714,47.08171206
4.62E+07,3.09E+74,38.28828829,97.14285714,46.30350195
201716.4748,3.00E+75,31.98198198,97.14285714,40.85603113
445386.131,4.38E+38,40.99099099,94.28571429,48.24902724
445386.1311,4.16E+73,38.73873874,94.28571429,46.30350195
2.55E+07,1.51E+65,9.90990991,94.28571429,21.40077821
898302.0206,9.22E+37,35.58558559,100,44.35797665
3.33E+11,1.50E+69,0,100,13.61867704
3.85E+11,1.48E+75,3.603603604,94.28571429,15.95330739
3.38E+08,4.28E+75,35.58558559,97.14285714,43.9688716
2.91E+09,1.49E+75,3.603603604,94.28571429,15.95330739
1799334.822,3.07E+75,36.03603604,97.14285714,44.35797665
1.37E+10,5.00E+55,36.03603604,94.28571429,43.9688716
3.06E+07,2.52E+58,14.86486486,91.42857143,25.29182879
3234707.145,4.05E+75,0,100,13.61867704
72866.01071,5.62E+71,37.83783784,94.28571429,45.52529183
3.53E+07,3.03E+75,0,100,13.61867704
9.22E+07,9.85E+35,4.954954955,94.28571429,17.12062257
489170.9775,2.75E+47,15.76576577,91.42857143,26.07003891
445386.1315,4.60E+42,38.73873874,94.28571429,46.30350195
2.91E+09,1.17E+75,3.603603604,97.14285714,16.34241245
445386.1311,3.51E+67,38.73873874,94.28571429,46.30350195
1408425.352,8.73E+73,38.28828829,94.28571429,45.91439689
2.03E+07,1.61E+74,3.603603604,94.28571429,15.95330739
463270.906,2.17E+75,17.11711712,97.14285714,28.0155642
9739327.333,2.09E+75,10.81081081,94.28571429,22.17898833
1.29E+07,2.43E+75,38.73873874,94.28571429,46.30350195
258640.9903,6.46E+70,35.58558559,100,44.35797665
613237.8777,4.04E+75,37.38738739,94.28571429,45.13618677
657066.8013,2.48E+75,0,100,13.61867704
1.96E+07,1.20E+75,3.153153153,97.14285714,15.95330739
939304.6404,2.47E+75,33.78378378,100,42.80155642
5.72E+10,1.51E+75,3.603603604,94.28571429,15.95330739
694309.2441,1.55E+75,4.054054054,97.14285714,16.73151751
1146495.55,8.95E+74,36.48648649,97.14285714,44.74708171
7.76E+07,8.81E+74,34.68468468,100,43.57976654
486010.7371,3.81E+75,0,100,13.61867704
4.53E+07,9.14E+39,4.504504505,94.28571429,16.73151751
7163185.424,4.00E+75,38.73873874,97.14285714,46.692607
1.01E+07,4.73E+61,0,100,13.61867704
1075033.758,2.36E+75,4.504504505,94.28571429,16.73151751
9.58E+09,7.20E+50,38.73873874,94.28571429,46.30350195
2300865.675,3.95E+75,39.63963964,94.28571429,47.08171206
445386.1312,2.86E+44,39.18918919,97.14285714,47.08171206
3608785.342,1.27E+42,36.03603604,94.28571429,43.9688716
587383.1739,4.06E+75,39.18918919,94.28571429,46.692607
7.53E+11,1.05E+67,40.54054054,97.14285714,48.24902724
1.61E+08,3.48E+74,35.13513514,100,43.9688716
2156279.586,3.64E+75,38.73873874,97.14285714,46.692607
1406181.412,4.72E+43,0,100,13.61867704
851756.9433,1.33E+75,0,100,13.61867704
2.25E+07,1.51E+75,25.67567568,97.14285714,35.40856031
445386.1312,7.01E+74,7.207207207,94.28571429,19.06614786
3421741.059,1.15E+75,4.054054054,94.28571429,16.34241245
6213466.114,3.61E+67,38.73873874,97.14285714,46.692607
445386.1311,1.56E+75,4.504504505,94.28571429,16.73151751
1167487.39,3.65E+75,36.93693694,100,45.52529183
4223817.84,3.93E+75,37.83783784,100,46.30350195
1119656.392,1.13E+75,4.054054054,100,17.12062257
2.03E+07,3.24E+75,39.63963964,100,47.85992218
1.61E+07,4.60E+72,36.48648649,97.14285714,44.74708171
