7.86E+71,4.11E+75,0,100,32.30769231,*,EXP,-,COS,f31,-,COS,-,f50,+,COS,/,f42,f37,f24,*,f37,-,+,f51,/,-,f9,f37,EXP,f4,f37,f5,EXP,f24,f25,f51,f56,f34,f2,,,,,,,,,,,,,,,,,,,,,,
1.12E+65,4.11E+75,0,100,32.30769231,EXP,EXP,-,*,f5,f31,/,f31,-,f47,+,f26,SIN,TAN,SIN,f26,COS,f31,f26,SIN,f23,f47,f24,f14,f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35E+47,4.11E+75,0,100,32.30769231,TAN,EXP,-,+,*,/,TAN,+,f24,COS,f38,/,*,f47,f42,f24,f47,EXP,f24,f31,TAN,f42,COS,f33,f42,f52,f18,f25,f47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.98E+64,4.11E+75,0,100,32.30769231,/,EXP,+,+,f31,+,TAN,EXP,-,LOG,f57,/,EXP,f26,f12,EXP,EXP,f3,f41,f41,LOG,f26,f31,EXP,f41,TAN,f12,f31,f41,f16,f7,f58,f29,,,,,,,,,,,,,,,,,,,,,,,,
6.82E+65,4.11E+75,0,100,32.30769231,EXP,*,f31,-,EXP,/,-,f32,f23,COS,f32,/,f28,f32,f28,f32,f23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.10E+72,4.11E+75,0,100,32.30769231,SIN,EXP,+,+,+,COS,*,+,*,f39,f31,/,-,f31,EXP,*,EXP,EXP,EXP,f6,*,*,SIN,f35,f5,SIN,*,*,/,f31,f5,f24,f5,f5,f24,f26,f7,f57,f31,f37,f31,f58,f34,f52,f47,f25,f2,,,,,,,,,,
3.25E+65,4.11E+75,4.545454545,100,35.38461538,EXP,COS,TAN,TAN,*,LOG,EXP,*,f40,*,f13,f39,f9,SIN,/,SIN,f19,f34,COS,EXP,COS,f1,f54,f1,f19,f17,f32,f7,f21,f34,f7,,,,,,,,,,,,,,,,,,,,,,,,,,
4.80E+65,4.11E+75,0,100,32.30769231,COS,*,/,+,*,COS,*,EXP,-,f48,EXP,COS,f18,+,+,TAN,/,-,*,-,f31,f35,f41,COS,+,+,EXP,*,f48,f16,/,-,*,*,f48,f49,*,f37,f16,f35,f24,f41,f46,f47,f24,f35,f27,f17,f39,f49,f16,f24,f27,f41,f31,f52,f27
9.24E+53,4.11E+75,0,100,32.30769231,*,EXP,-,TAN,f54,*,COS,f29,f26,/,-,-,/,+,-,*,EXP,EXP,EXP,f44,EXP,f26,*,-,+,LOG,f25,LOG,f31,*,f31,f48,f31,f54,f5,f48,f25,f42,f16,f44,f52,f44,f3,f11,f24,f32,f15,,,,,,,,,,
2.71E+47,4.11E+75,0,100,32.30769231,EXP,EXP,COS,COS,TAN,f42,/,SIN,f8,f41,+,*,/,TAN,-,f26,f8,f15,SIN,EXP,-,f41,f26,f7,f53,-,f8,f8,f26,f41,+,f41,f38,f2,f7,,,,,,,,,,,,,,,,,,,,,,
3.34E+56,4.11E+75,0,100,32.30769231,EXP,EXP,f31,*,f10,TAN,*,f24,f10,-,f24,+,f48,f44,f34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13E+48,4.11E+75,0,100,32.30769231,EXP,TAN,f33,COS,SIN,EXP,EXP,f13,f14,EXP,f31,SIN,f5,f33,f57,f31,f23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.50E+70,4.11E+75,0,100,32.30769231,EXP,f15,-,TAN,SIN,f13,EXP,-,*,f21,f42,-,f29,*,f29,f50,f44,f50,SIN,f49,f39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
